date,adjusted_close_usd
2016-07-01,49.537883758544922
2016-07-05,49.256381988525391
2016-07-06,49.473373413085938
2016-07-07,49.537883758544922
2016-07-08,50.194732666015625
2016-07-11,50.224044799804688
2016-07-12,50.364795684814453
2016-07-13,50.218162536621094
2016-07-14,50.317867279052734
2016-07-15,50.218162536621094
2016-07-18,50.388233184814453
2016-07-19,50.253341674804688
2016-07-20,50.382400512695313
2016-07-21,50.31201171875
2016-07-22,50.53485107421875
2016-07-25,50.294467926025391
2016-07-26,50.100879669189453
2016-07-27,50.253341674804688
2016-07-28,50.042243957519531
2016-07-29,50.089168548583984
2016-08-01,49.808147430419922
2016-08-02,49.737476348876953
2016-08-03,49.9613037109375
2016-08-04,50.279396057128906
2016-08-05,50.391376495361328
2016-08-08,50.597549438476563
2016-08-09,50.774257659912109
2016-08-10,50.680019378662109
2016-08-11,50.803737640380859
2016-08-12,50.844940185546875
2016-08-15,50.998138427734375
2016-08-16,50.892074584960938
2016-08-17,50.962787628173828
2016-08-18,51.163078308105469
2016-08-19,51.009910583496094
2016-08-22,50.927459716796875
2016-08-23,51.098243713378906
2016-08-24,50.956901550292969
2016-08-25,51.0511474609375
2016-08-26,50.992218017578125
2016-08-29,51.245536804199219
2016-08-30,51.274990081787109
2016-08-31,51.074710845947266
2016-09-01,51.175857543945313
2016-09-02,51.412490844726563
2016-09-06,51.4716796875
2016-09-07,51.329715728759766
2016-09-08,51.235042572021491
2016-09-09,50.743976593017578
2016-09-12,50.921501159667969
2016-09-13,50.531002044677734
2016-09-14,50.519157409667969
2016-09-15,50.814979553222656
2016-09-16,50.826816558837891
2016-09-19,50.856407165527344
2016-09-20,50.797237396240234
2016-09-21,51.21728515625
2016-09-22,51.388862609863281
2016-09-23,51.329715728759766
2016-09-26,51.104907989501953
2016-09-27,51.252792358398438
2016-09-28,51.595928192138672
2016-09-29,51.400684356689453
2016-09-30,51.625495910644531
2016-10-03,51.593421936035149
2016-10-04,51.504291534423828
2016-10-05,51.640926361083984
2016-10-06,51.670680999755859
2016-10-07,51.789543151855469
2016-10-10,51.938117980957031
2016-10-11,51.646903991699219
2016-10-12,51.629066467285149
2016-10-13,51.498363494873047
2016-10-14,51.6171989440918
2016-10-17,51.5458984375
2016-10-18,51.753875732421875
2016-10-19,51.902427673339837
2016-10-20,51.908390045166016
